"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",32360
"Woodworkers, All Other",44570
Power Distributors and Dispatchers,93200
Power Plant Operators,93610
Stationary Engineers and Boiler Operators,84160
Water and Wastewater Treatment Plant and System Operators,72650
Chemical Plant and System Operators,58160
Gas Plant Operators,101610
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",81310
"Plant and System Operators, All Other",69480
Chemical Equipment Operators and Tenders,56730
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",47490
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",33680
"Grinding and Polishing Workers, Hand",33260
"Mixing and Blending Machine Setters, Operators, and Tenders",42530
"Cutters and Trimmers, Hand",31940
"Cutting and Slicing Machine Setters, Operators, and Tenders",35820
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",36390
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",39730
"Inspectors, Testers, Sorters, Samplers, and Weighers",45120
Jewelers and Precious Stone and Metal Workers,40940
Dental Laboratory Technicians,43340
Medical Appliance Technicians,48370
Ophthalmic Laboratory Technicians,36400
Packaging and Filling Machine Operators and Tenders,32480
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",37350
"Painters, Transportation Equipment",44780
"Painting, Coating, and Decorating Workers",37990
Semiconductor Processors,43390
Photographic Process Workers and Processing Machine Operators,47360
Adhesive Bonding Machine Operators and Tenders,36610
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",39090
Cooling and Freezing Equipment Operators and Tenders,35460
Etchers and Engravers,35000
"Molders, Shapers, and Casters, Except Metal and Plastic",36050
"Paper Goods Machine Setters, Operators, and Tenders",36630
Tire Builders,30630
Helpers--Production Workers,29770
"Production Workers, All Other",34400
Transportation and Material Moving Occupations,39530
Aircraft Cargo Handling Supervisors,48500
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",59650
"Airline Pilots, Copilots, and Flight Engineers",205520
Commercial Pilots,97720
Air Traffic Controllers,132300
Airfield Operations Specialists,58300
